code,country_name
1,"United States"
2,Canada
3,Bahamas
4,Barbados
5,Belize
6,Bermuda
7,"British Virgin Islands"
8,"Cayman Islands"
9,"Costa Rica"
10,Cuba
11,Dominica
12,"Dominican Republic"
13,"El Salvador"
14,Greenland
15,Grenada
16,Guadeloupe
17,Guatemala
18,Haiti
19,Honduras
20,Jamaica
21,Martinique
22,Mexico
23,Montserrat
24,Nicaragua
25,Panama
26,"Puerto Rico"
27,"Trinidad and Tobago"
28,"United States Virgin Islands"
29,Argentina
30,Bolivia
31,Brazil
32,Chile
33,Colombia
34,Ecuador
36,"French Guiana"
37,Guyana
38,Paraguay
39,Peru
40,Suriname
41,Uruguay
42,Venezuela
43,Albania
44,Andorra
45,Armenia
46,Austria
47,Azerbaijan
48,Belarus
49,Belgium
50,"Bosnia and Herzegovina"
51,Bulgaria
52,Croatia
53,Cyprus
54,"Czech Republic"
55,Denmark
56,Estonia
57,Finland
58,France
59,Georgia
60,Germany
61,Gibraltar
62,Greece
64,Hungary
65,Iceland
66,Ireland
67,"Isle of Man"
68,Italy
71,Latvia
72,Liechtenstein
73,Lithuania
74,Luxembourg
75,Macedonia
76,Malta
77,Moldova
78,Monaco
79,Montenegro
80,Netherlands
81,Norway
82,Poland
83,Portugal
84,Romania
85,Russia
86,"San Marino"
87,Serbia
88,Slovakia
89,Slovenia
90,Spain
91,Sweden
92,Switzerland
93,Turkey
94,Ukraine
95,"United Kingdom"
97,Afghanistan
98,Bahrain
99,Bangladesh
100,Bhutan
101,Brunei
102,Cambodia
103,China
104,"East Timor"
105,"Hong Kong"
106,India
107,Indonesia
108,Iran
109,Iraq
110,Israel
111,Japan
112,Jordan
113,Kazakhstan
114,Kuwait
115,Kyrgyzstan
116,Laos
117,Lebanon
118,Macau
119,Malaysia
120,Maldives
121,Mongolia
122,Myanmar(Burma)
123,Nepal
125,Oman
126,Pakistan
127,Philippines
128,Qatar
129,"Saudi Arabia"
130,Singapore
131,"South Korea"
132,"Sri Lanka"
133,Syria
134,Taiwan
135,Tajikistan
136,Thailand
137,Turkmenistan
138,"United Arab Emirates"
139,Uzbekistan
140,Vietnam
141,Yemen
142,Algeria
143,Angola
144,Benin
145,Botswana
146,"Burkina Faso"
147,Burundi
148,Cameroon
149,"Cape Verde"
151,Chad
152,"Republic of the Congo"
153,"Democratic Republic of the Congo"
154,Djibouti
155,Egypt
156,"Equatorial Guinea"
157,Eritrea
158,Ethiopia
159,Gabon
160,Gambia
161,Ghana
162,Guinea
163,Guinea-Bissau
164,"Ivory Coast"
165,Kenya
166,Lesotho
167,Liberia
168,Libya
169,Madagascar
170,Malawi
171,Mali
172,Mauritania
173,Mauritius
174,Morocco
175,Mozambique
176,Namibia
177,Niger
178,Nigeria
179,Reunion
180,Rwanda
181,"Sao Tome and Principe"
182,Senegal
183,Seychelles
184,"Sierra Leone"
186,"South Africa"
187,Sudan
188,Swaziland
189,Tanzania
190,Togo
191,Tunisia
192,Uganda
194,Zambia
195,Zimbabwe
196,Australia
197,"New Zealand"
198,Fiji
199,"French Polynesia"
200,Guam
203,Micronesia
205,"New Caledonia"
206,"Papua New Guinea"
207,Samoa
208,"Solomon Islands"
209,Tonga
211,Vanuatu
230,"Antigua and Barbuda"
231,Aruba
400,"Saint Barthelemy"
401,"Saint Lucia"
402,Comoros
403,"South Sudan"
410,"Turks and Caicos Islands"
412,"Cook Islands"
413,"Saint Kitts and Nevis"
414,"Northern Mariana Islands"
415,Curacao
416,"Bonaire, Sint Eustatius and Saba"
417,"Saint Martin(French)"
418,Palau
419,"Saint Vincent and The Grenadines"
423,Anguilla
424,"Faroe Islands"
426,Niue
428,"American Samoa"
442,Tokelau
