Id,giata_id,NAME,city_code,city_name,country_code,long_desc,latitude,longitude,rating,address,main_image
OT000749265,749264,Tribeca Serviced Hotel by Millennium,69192,Kuala lumpur,119,\N,3.14641126,101.7156916,3,215 Jalan Imbi 55100 Kuala Lumpur,\N
OT000731476,731475,Four Seasons Hotel Kuala Lumpur,69192,Kuala lumpur,119,\N,3.158247472,101.7139015,5,Four Seasons Place 145 Jalan Ampang,\N
OT000246199,246198,Villa Samadhi,69192,Kuala lumpur,119,\N,3.156098,101.726164,4.5,8 Jalan Madge Kuala Lumpur 55000,\N
OT000431517,431516,Hotel Transit Kuala Lumpur,69192,Kuala lumpur,119,\N,3.146001,101.701469,3,42 Jalan Pudu 55100 Kuala Lumpur,\N
OT000433156,433155,Ramada Suites by Wyndham Kuala Lumpur City Centre,69192,Kuala lumpur,119,\N,3.148548894,101.7076375,4,1 Lorong Ceylon Bukit Ceylon,\N
OT000433771,433770,The Grand Campbell Hotel,69192,Kuala lumpur,119,\N,3.156727082,101.6967551,3,Jalan Dang Wangi 50100 Kuala Lumpur,\N
OT000719496,719495,Alila Bangsar Kuala Lumpur,69192,Kuala lumpur,119,\N,3.127731652,101.6801436,5,58 Jalan Ang Seng Bangsar,\N
OT000856094,856093,Tamu Hotel & Suite Kuala Lumpur,69192,Kuala lumpur,119,\N,3.16349429,101.7027816,4,120 Jalan Raja Abdullah Kampong Bharu,\N
OT001083798,1083797,M Palace Hotel KL,69192,Kuala lumpur,119,\N,3.15412129,101.696686,3,97 Jalan Tuanku Abdul Rahman 50100 Kuala Lumpur,\N
OT000748848,748847,Ramada Encore by Wyndham Chinatown Kuala Lumpur,69192,Kuala lumpur,119,\N,3.14645827,101.7004832,3,3-1 Jalan Pudu Lama Seksyen 19,\N
OT000227380,227379,Anggun Kuala Lumpur,69192,Kuala lumpur,119,\N,3.145469,101.70715,4,"7 & 9, Tengkat Tong Shin 50200 Kuala Lumpur",\N
OT000085715,85714,Ibis Styles Kuala Lumpur Bukit Bintang,69192,Kuala lumpur,119,\N,3.1451172,101.707632,3,16 Jalan Alor Bukit Bintang,\N
