system_id,NAME,city_code,city_name,country_code,long_desc,latitude,longitude,rating,address,main_image
OT000238362,"RH Hotel Sibu",69213,Sibu,119,"RH HOTEL is strategically located in the town centre. It is connected by a bridge to Sibu’s tallest building, Wisma Sanyan (which also houses the largest shopping mall in the town) and Malaysia’s largest town square, Sibu Town Square. It is in the immediate vicinity of the major financial and shopping district where offices and banks are located. All the 226 spacious & trendy rooms and unique suites are elegantly decorated in luxurious contemporary styles and is equipped with comprehensive modern facilities such as wireless broadband internet coverage.",2.2918291,111.8257292,4.0,"Jalan Kampung Nyabor, P.O.Bok No.1762, 96000 Sibu, Sarawak, Malaysia.",1504521030_main_Facadejpg
OT000159755,"The Klagan Regency",69200,"Kota kinabalu",119,"Located within a 25-minute drive from the Kota Kinabalu International Airport, The Klagan Regency is a 4-star value hotel, offering a local comfort and value to all leisure and business travelers. The hotel has direct access to 1Borneo Hypermall which houses a selection of over 300 shopping, leisure and dining outlets. The Klagan Regency is also in close proximity to many corporate and government offices as well as several tourist attractions nearby, making this the preferred hotel for all alike.",6.035109,116.128621,4.0,"TB-00-01, 1Borneo Hypermall Jalan UMS,
88450, Kota Kinabalu, Sabah, Malaysia",1568082630_main_klagan_regency.jpg
OT000072542,"Sutra Beach Resort Terengganu",119_22164_1814,Terengganu,119,"Discover the tranquil timelessness and carefree serenity of Sutra Beach Resort, a &quot;paradise we call home&quot;. Come and make it yours and we believed Sutra Beach Resort is your perfect place to gather for business and pleasure.",5.51825866455,102.978286743,3.0,"Kampung Rhu Tapai, Merang, Setiu, 21010 Terengganu, Malaysia.",1495435741_main_facedejpg
OT000129730,"HOTEL SANDAKAN",69201,Sandakan,119,"HOTEL AMENITIES : SAFE-DEPOSIT BOX AT FRONT DESK,LUGGAGE STORAGE,ELEVATOR,NUMBER OF RESTAURANTS - 2,CONCIERGE SERVICES,BALLROOM,WHEELCHAIR ACCESSIBLE (MAY HAVE LIMITATIONS),24-HOUR FRONT DESK,BANQUET HALL,LAUNDRY FACILITIES,BUSINESS CENTER,PARKING (LIMITED SPACES),PORTER/BELLHOP,MEETING ROOMS,FREE SELF PARKING,FREE WIFI,WEDDING SERVICES,SMOKE-FREE PROPERTY,BUSINESS PROPERTY,FAMILY PROPERTY,",5.840897,118.117991,3.0," Block 83, Town Centre, 4th AvenueSandakan Sabah",15858830601957.jpg
OT000314284,"Hotel Sixty3",69200,"Kota kinabalu",119,"Being just steps away from Sabahs&#039; most famous day market (Gaya Street Sunday Market); a street burgeoning with food outlets and shopping malls, our location also offers great access to the citys&#039; best  places of interest! 

Thousands of positive reviews on travel forums and social media will show you why staying with us will elevate your experience. With 100 tastefully designed rooms and all the amenities that a modern, discerning traveler like you require, Hotel Sixty3 is undoubtedly the place to be.",5.9854407,116.077896,3.0,"63 Jalan Gaya, 88000 Kota Kinabalu, Sabah, Malaysia",1498644281_main_Facadejpg
OT001305953,"Scapes Hotel Genting Highlands",119_15835-XKL_3956,"Genting highlands",119,,3.3876127,101.7823461,4.0,"Midhills Jalan Jaya Permai, 69000 Genting Highlands, Pahang Darul Makmur, Malaysia",df1f85db7cb2fa214f3466c82e2bc5ef.jpg
OT000060894,"Mutiara Taman Negara",119_22004_9480,Pahang,119,"Located in Taman Negara – Pahang’s rainforest sanctuary, Mutiara features air-conditioned accommodation with a terrace, offering Tembeling River or jungle views. It has a restaurant and provides a wide range of adventure activities.  Recreational options like jungle trekking, canopy walks, mountain climbing and caving can be arranged at Mutiara Taman Negara’s tour desk. Guests can also visit the homes of the “Orang Asli” or local natives.  Fitted with tiled or wooden flooring, most rooms and chalets are made of natural timbre. They offer private bathrooms with hot shower facilities and a hairdryer. Select rooms come with living and dining areas and a kitchenette.  Seri Mutiara Restaurant serves a buffet spread of Malaysian delicacies and international favourites. Other dining options include light snacks and refreshing beverages at Cricket Bar.",4.383706,102.401205,4.0,"Kuala Tahan, Jerantut, Pahang, Malaysia.",1492663275_main_HotelExteriorjpg
OT001364908,"Le Vert Boutique Hotel",119_15835-XKL_3956,"Genting highlands",119,"Head away from the city to enjoy the picturesque beauty of Genting Highlands. Located in Gohtong Jaya, Le Vert Boutique Hotel leaves nothing more than five minutes from your fingertips.  Take a day trip to the Genting Premium outlet which is 3km away and the First World Plaza, only 4.8km away or maybe you could just relax right here and enjoy the endless possibilities waiting right beneath your balcony.",3.387452,101.7725727,3.0,"P-G-06, Genting Permai Avenue, 69000 Genting Highlands, Pahang",1750403804_main_IMG_0596.jpg
OT000078993,"Gayana Marine Resort",69200,"Kota kinabalu",119,"Welcome to Gayana Marina Resort, where the tropical forest embraces the tranquil sea. Enjoy the best of both worlds at Gayana with the pristine rainforest in your backyard and the crystal clear sea teeming with marine treasures at your doorstep. And while you are here, don t forget to indulge in some of the freshest seafood found in Sabah, snorkel in waters of abundant marine life, catch the rays on sandy beaches and be entranced by the rainforest surrounding the resort, all just 20 minutes from the shores of Kota Kinabalu.",5.9904612,116.0783726,5.0,"Malohom Bay, Gaya Island, Tunku Abdul Rahman Park, Kota Kinabalu Sabah",1660547909_main_gayana-marine-resort-merc-3x2-01.jpg
OT000088359,"Pulse Grande Hotel",69253,Putrajaya,119,"Putrajaya Shangri-La, the exclusive address for business or leisure, is an intimate, stylish city resort committed to personalized service.The Putrajaya Shangri La overlooks Malaysia is innovative new garden city. Both a hotel in a park and a park inside a hotel, The Putrajaya Shangri La is an intimate and stylish boutique hotel committed to personalised service and sublime comfort.",2.943194,101.70023,5.0,"Taman Putra Perdana, Presint 1,62000 Wilayah Persekutuan, Putrajaya",1492673197_main_facedejpg
